,mean_reward_100_steps,steps
169,-887.0657424756705,20886
170,-878.5041802287134,20983
171,-874.7702029531231,21073
172,-876.0893321865333,21143
173,-880.1142451640061,21271
174,-875.3147428118078,21362
175,-875.2833696988193,21444
176,-875.4476326506375,21532
177,-875.3448728965036,21633
178,-874.9472695751306,21743
179,-867.9390693477003,21818
180,-865.804461269443,21916
181,-865.3598472005062,22014
182,-880.4755385131473,22278
183,-883.4471167362691,22393
184,-879.5686603284753,22508
185,-879.533784296559,22602
186,-880.7771919566565,22699
187,-881.5522816529623,22805
188,-885.9434486351988,22925
189,-883.5431307233566,23016
190,-865.2240372899051,23107
191,-863.5468197626801,23184
192,-881.95539255752,23477
193,-884.6423830551039,23598
194,-886.4786214834135,23687
195,-890.0669071202167,23821
196,-910.295306215827,24106
197,-910.0722634960823,24196
198,-909.7279719392328,24270
199,-913.3539347633028,24374
200,-893.7316040133989,24558
201,-899.203127869419,24753
202,-891.242299766935,24837
203,-884.4879879989808,24914
204,-874.2619900864935,24988
205,-867.2309377368279,25065
206,-879.4650547206239,25286
207,-879.2629236179334,25367
208,-880.6420747266791,25501
209,-877.1253316299469,25595
210,-883.4723633543717,25748
211,-883.6754909824864,25854
212,-884.265015924969,25953
213,-882.5454756588449,26042
214,-881.8131026557534,26182
215,-878.3439755410312,26286
216,-883.5204165744309,26423
217,-879.3488441010189,26539
218,-878.0511435030687,26620
219,-878.8928251556505,26715
220,-873.5976981375359,26788
221,-873.9803765281728,26889
222,-867.6287579214684,26961
223,-865.9492247753589,27061
224,-864.8044874387291,27147
225,-844.3565141997268,27329
226,-829.4669290721417,27423
227,-811.6860881222083,27546
228,-805.6077973892719,27644
229,-805.3199232333586,27753
230,-805.703053238152,27843
231,-811.6322495454921,28027
232,-799.1767088376499,28103
233,-787.6383279909173,28259
234,-788.4844734660946,28397
235,-779.0081893882482,28485
236,-779.4216906347498,28590
237,-777.3326168473011,28721
238,-765.4556115207871,28837
239,-766.043824667237,28968
240,-765.8154095682695,29121
241,-762.5068250020787,29195
242,-764.5464249033453,29305
243,-779.3725134912447,29523
244,-782.6952377279314,29659
245,-784.4822290892401,29775
246,-787.053526378596,29897
247,-780.9708166197564,30076
248,-777.8490239704478,30206
249,-781.531158505666,30361
250,-781.6704388568454,30554
251,-782.9245106838098,30642
252,-779.5443505874198,30754
253,-779.7978430174877,30853
254,-782.3975701668356,30953
255,-777.8174697269553,31060
256,-778.7873020554264,31153
257,-819.7363221734934,31565
258,-820.0747285529328,31664
259,-818.7190274296586,31756
260,-817.0194911767998,31841
261,-811.7910498897268,31941
262,-809.0899748755786,32037
263,-812.2074351504393,32176
264,-837.0617237614706,32522
265,-838.4793950581902,32609
266,-838.5286809316214,32758
267,-837.165161732814,32845
268,-837.8162121388948,32930
269,-831.0806509102943,33027
270,-833.6147456314933,33179
271,-844.4750644622895,33400
272,-844.5182533760634,33489
273,-855.7625013528502,33725
274,-865.6873068086419,33936
275,-865.2457433734033,34013
276,-866.3147136474606,34139
277,-867.5917232638025,34252
278,-866.3534596151774,34326
279,-865.7978846270557,34421
280,-864.8140539781915,34510
281,-868.8247971907454,34635
282,-854.006290228125,34710
283,-854.3933068284464,34822
284,-854.5344700049432,34936
285,-862.9725777226299,35117
