,0
0,-130.21130058782714
1,-26.974755783564262
2,-87.82689629121234
3,-84.42622174082213
4,-384.30317564934364
5,-88.24767554987693
6,-337.2096828395819
7,-123.68567405409893
8,-108.83989748560738
9,-400.3696774170473
10,-250.43759711471768
11,-427.05911983085343
12,-74.92520774690641
13,-98.46989857041672
14,-120.61752079312797
15,-36.32656161501917
16,-102.04762362351218
17,-346.7391387632676
18,-339.833098669675
19,-80.12494942880443
20,-219.83687076939708
21,-101.54303811905324
22,-317.4171044442829
23,-149.50512652863495
24,-255.40180715940843
25,-168.57330670874768
26,-206.04701089255303
27,4.343627943259861
28,-268.37541138817994
29,-58.65078087570099
30,-111.8266267869267
31,-223.30050692036372
32,-121.81568094256248
33,-138.67336511591765
34,-138.59857458588996
35,-88.34462327869176
36,-135.21640772188687
37,-72.0149487037595
38,-158.4198143206463
39,-115.48608064365237
40,-100.09486250300273
41,-137.47963169590412
42,-15.091848685981248
43,-93.51090509069557
44,-157.67907320883586
45,-111.32260437692484
46,-33.45865125050955
47,-191.59596764490857
48,-114.76707252263877
49,-20.789101626210652
50,-192.65317990280624
51,-95.07284633173111
52,-160.5229332952083
53,-94.35552808896685
54,-189.49855219437984
55,-103.51041014316343
56,-83.71898200271018
57,-270.11018374732066
58,-352.1628587422361
59,-349.4375006579971
60,-90.14867038191667
61,-96.44166122643882
62,-99.77111218484505
63,-124.59563749709706
64,-75.11440210392874
65,-71.43870651746175
66,-118.64936281083503
67,-152.0878550194044
68,-45.707232259168975
69,-189.69180020271995
70,-170.66529680503533
71,-123.47699584087573
72,-110.81988724330901
73,-247.3968984965216
74,-76.35153072988598
75,-168.2441511520752
76,-103.03763142330546
77,2.595412347908791
78,-60.27550612015368
79,-71.89204801082505
80,-80.27475242831179
81,-122.61188931987249
82,-154.07310809702886
83,-182.1242615010112
84,-371.78040872424765
85,24.490612673417615
86,-14.028026149580484
87,-155.23660007908416
88,-130.88943672585722
89,-127.53435803122751
90,-134.15325299118524
91,-30.376310687059046
92,-147.4381909087693
93,-80.76541940381722
94,-123.13791907930607
95,-104.78139768366327
96,-98.62458151822261
97,-60.65958431792643
98,-94.00369571602569
99,-74.19851102050319
100,-188.01018478575648
101,-279.373141138086
102,-102.11703370646475
