,0
218,22.443760892879823
219,238.32815408069675
220,262.05234397375636
221,-249.03580214167425
222,42.09962059452124
223,285.13535849911216
224,38.109020835034016
225,215.84124044228
226,230.7183836383263
227,168.6994402249908
228,244.4773405962309
229,245.18106769708655
230,202.09865743279556
231,226.90355432264363
232,221.38563736642868
233,-133.72015746826952
234,305.52366292890366
235,-1.7872410356777522
236,-31.54272539394151
237,220.9551509995561
238,-64.31834596980119
239,233.31046040746696
240,-30.839020493102254
241,10.441710691187282
242,216.64819293729192
243,196.6590863823697
244,279.3694666531293
245,-25.927763112340315
246,169.73940525937385
247,236.28012210559797
248,288.25263676997884
249,287.55818054040765
250,-171.56429084745662
251,256.3539630898574
252,-13.75042891353337
253,-31.54788287369091
254,-19.366745826537496
255,241.40540559032084
256,294.24780489433624
257,-111.37379386967663
258,255.11529855688542
259,-52.7493754719646
260,266.1965642786178
261,-129.27981418221162
262,-16.61983439873417
263,-11.270783875710379
264,243.61657146139
265,299.83864253701836
266,201.56503484088051
267,268.70950557333015
268,117.58694889051074
269,-123.26753569765657
270,288.32508060544956
271,-8.183003882124254
272,-270.0429337806627
273,239.7383314511807
274,209.47082809435875
275,209.83317471908006
276,-65.70477887008798
277,236.76669418110563
278,-60.67289049196184
279,206.8981241983263
280,255.0165583057402
281,-109.44641111139077
282,-174.37957009505652
283,-266.34477413485246
284,49.97881719039296
285,143.92741317965448
286,-102.10710833145352
287,243.8146235242194
288,108.21726327765964
289,229.54396528078078
290,306.97559530840397
291,26.225477520862157
292,-69.9511901137672
293,-20.19390162499097
294,253.25952500544247
295,232.3625874441398
296,-82.1139064374918
297,226.25114586981454
298,233.71777486583855
299,251.43995826942685
300,-14.854521347603225
301,-13.571910210039405
302,259.3352958375475
303,206.99906901485343
304,247.26607160045037
305,154.51170854530596
306,244.86059642387596
307,-19.92642682447176
308,-120.68963410896941
309,-49.16645055759999
310,239.0122668292252
311,250.94221727826843
312,259.87288214507925
313,-228.0142606316089
314,201.63339626042261
315,254.1493941340226
316,-70.77684063598879
317,-163.38993706628148
318,-221.0101579063508
319,191.92783388345197
320,237.80152543525585
321,-22.19444291505657
322,18.41883280112451
323,16.823360894215895
324,-57.33518170131168
325,255.4332709099669
326,2.5123445154576274
327,-2.840779370037197
328,217.68946116310002
329,-14.50480484266825
330,213.94372138750902
331,-264.2157818093076
332,-12.189000294679929
333,27.395056914450507
334,248.37416919284993
335,-109.76756320628076
336,205.72279923074626
337,239.8331787008943
338,236.23327272490056
339,226.55456554314208
340,287.89474399174935
341,-149.40560528337474
342,-255.52784815420011
343,226.65469074108725
344,264.8256105211306
345,32.97994459334285
346,-190.1391502862873
347,-24.10604538242073
348,106.74928964549767
349,238.27547625044656
350,257.4405277560336
351,263.3495009810524
352,189.17473863406838
353,-53.691097197032704
354,246.7773672287585
355,220.8689896569902
356,226.61260229352268
357,217.7443899502196
358,-158.33383582639686
359,-51.25589525857843
360,-53.44669993765346
361,245.38855154782362
362,258.0128630543711
363,2.9885442091303673
364,226.18411228449128
365,256.88930888729897
366,241.71705630029516
367,266.23332393993
368,277.5519288505493
369,218.65456726706051
370,165.75657702974297
371,-94.86328546621779
372,266.79145631736253
373,201.11546264621936
374,-39.48932530678027
375,37.08076473665852
376,255.5238144898977
377,-314.1309356749213
378,239.645417814852
379,291.95440052756896
380,-52.045219076053044
381,234.3286582084378
382,235.3000485288147
383,-177.99550549815584
384,-102.8963681727262
385,168.96103848030657
386,191.51042331487173
387,8.070819391847138
388,-73.64212268506763
389,273.20145443508636
390,-89.67498507074987
391,273.4114796382869
392,263.1230175098352
393,222.09658369523783
394,231.0346424102674
395,256.984731141659
396,-7.397520762419305
397,178.45644749933595
398,236.8505110332605
399,256.7850720839168
400,228.41235153720814
401,182.03527858538075
402,-112.83786762234578
403,-493.7406183529181
404,261.7820553540133
405,-301.04817306602877
406,233.81883170248025
407,-18.875114513154045
408,6.937972518967712
409,-63.75830639615593
410,258.71880379986715
411,254.63193204928132
412,1.9053311945514508
413,-28.507109827673162
414,271.38531617475275
415,-60.608053379583865
416,157.17079540357173
417,268.4077582689573
418,-83.70258906777818
419,282.2029611461137
420,282.5973397645795
421,246.63232455345903
422,220.28677173382647
423,263.3018194555068
424,-30.01736835686758
425,255.63074079269666
426,223.03802487306564
427,-218.78847223208112
428,234.24990052273296
429,271.6608777074382
430,225.65214525435795
431,179.21892230676144
432,238.84603831783505
433,223.6263777329375
434,183.02960479322036
435,284.96963086375547
436,268.3152465693674
437,-78.44984017566443
438,176.86739821104806
439,259.1547687353606
440,-42.15754092420647
441,161.9726325391403
442,-39.53403694038218
443,246.97856678311734
444,-64.26073776591684
445,-27.6244314711046
446,-156.1551912822165
447,181.30457146095748
448,-81.13680288217294
449,-204.2579300409303
450,-60.858592489416466
451,229.5936348891727
452,217.54245649654325
453,250.2823317190146
454,245.0339874825984
455,214.4897078479077
456,217.86118609883044
457,230.4612613240322
458,308.4783641267097
459,-24.350480897625474
460,-202.81272648153066
461,-44.02238855734177
462,-230.67551437249503
463,284.75976967447434
464,288.44069417435765
465,227.61090821190413
466,326.0590904733985
467,-86.05539330774671
468,174.75879813933216
469,-42.68198610860651
470,271.3586752414174
471,184.5968371207267
472,-47.245012133178875
473,-106.71168315341306
474,224.4834979563176
475,242.05897016163834
476,69.17609750960214
477,197.86301777272848
478,-72.04700651471838
479,155.74202957791536
480,-35.49284084761035
481,141.75458041448692
482,-56.28220311603188
483,193.92608673028633
484,209.9859139906556
485,282.7777282525244
486,200.3079970563958
487,12.851552658351054
488,-173.94005402527495
489,-42.44194807404801
490,4.067879554422461
491,257.7912557660296
492,242.90613093253964
493,248.49866632722967
494,170.63423350323387
495,244.07754071544517
496,-43.54367324778317
497,230.51489396507128
498,218.80130193179133
499,245.1318162151152
