,mean_reward_100_steps,steps
0,-152.5203732664135,79
1,-215.0496115014517,185
2,-216.4589281721853,314
3,-193.47138010129387,420
4,-209.60104233809602,547
5,-198.63107823659,607
6,-186.17968623929386,666
7,-175.75511309054264,736
8,-168.788701148882,837
9,-175.02573053899354,906
10,-169.1308307768046,974
11,-166.25204734789267,1079
12,-162.1487205920832,1156
13,-159.77901791298817,1253
14,-149.47465114153854,1345
15,-147.9543484940206,1431
16,-157.56573665000082,1527
17,-168.00442630072382,1623
18,-163.23524415877267,1680
19,-161.67570557174375,1757
20,-159.05652154328672,1842
21,-157.130431572386,1921
22,-158.41957502242386,2027
23,-155.59019508146233,2136
24,-153.3643647654364,2196
25,-160.5187574705898,2315
26,-170.56223213454217,2407
27,-173.74142467946928,2538
28,-175.75859881011746,2598
29,-177.7338284108652,2697
30,-180.49125742905045,2773
31,-183.15843800504683,2851
32,-185.62306192926889,2922
33,-187.08630697423953,3003
34,-192.88308109079483,3102
35,-195.1783713303332,3219
36,-191.8598165455836,3323
37,-191.74330209540128,3423
38,-193.14260991229125,3487
39,-191.37652462820526,3575
40,-189.635214054161,3649
41,-191.84999402118805,3726
42,-189.74510503143983,3851
43,-188.66828717297437,3909
44,-187.8886443691047,4027
45,-185.8062928414843,4091
46,-184.2785102810409,4186
47,-186.51302610555732,4282
48,-186.66302227851835,4398
49,-187.2009107932878,4503
50,-187.63402133198025,4617
51,-184.3048550606012,4701
52,-182.60638744367628,4778
53,-182.2123719372035,4890
54,-181.7303311450069,4978
55,-180.26847025159918,5038
56,-176.55961052735626,5113
57,-180.30103590298913,5201
58,-178.77479199174155,5269
59,-178.02773284071506,5342
60,-176.07334273705868,5403
61,-177.95540749162555,5491
62,-176.4088755022018,5570
63,-174.47303565648176,5639
64,-173.91818545975178,5736
65,-175.56420868013987,5806
66,-174.26361712332053,5876
67,-173.18684993073725,5962
68,-175.22631123271645,6083
69,-175.85336189422662,6189
70,-175.05432859600845,6280
71,-175.38021844608542,6385
72,-173.00445173463015,6453
73,-172.15650368936906,6517
74,-171.02943499337994,6619
75,-170.48071935271182,6702
76,-169.04687323047114,6789
77,-172.32112733467935,6911
78,-174.06010098193852,7020
79,-175.38171285056418,7116
80,-176.17276933047643,7182
81,-179.37332665989067,7264
82,-181.25719457364042,7390
83,-180.3339354001704,7488
84,-179.23624144665942,7558
85,-177.78714243118432,7625
86,-178.54436611446852,7714
87,-178.17935411685073,7803
88,-180.06811844194874,7902
89,-179.3805768165559,8006
90,-181.48298472873628,8113
91,-180.7536225909889,8194
92,-180.1414943617704,8290
93,-179.2284458327937,8373
94,-178.31361198404966,8443
95,-178.36342950990345,8573
96,-178.58692204341813,8687
97,-177.6543736357113,8763
98,-177.62107213424582,8827
99,-177.03488124814362,8893
100,-176.85075568012863,8995
101,-177.5083958790747,9120
102,-176.3825654588218,9194
103,-178.21892820512207,9305
104,-177.54618663050928,9380
105,-177.20940212448792,9467
106,-177.17302931190298,9549
107,-177.4398240645726,9658
108,-178.08047900141352,9770
109,-177.620137772782,9867
110,-178.89276611178863,9975
111,-181.16768395764507,10074
112,-181.1306750796541,10170
113,-182.84011797926087,10265
114,-184.6471898550716,10395
115,-184.3577914363975,10466
116,-184.16333203158266,10572
117,-181.53337538646886,10645
118,-181.93099572793395,10745
119,-181.514139418874,10879
120,-181.7087631576382,10960
121,-181.46527928622476,11023
122,-181.6078402741081,11085
123,-181.51579262669983,11147
124,-181.45482848999134,11253
125,-178.8608811739501,11323
126,-175.98581692466303,11423
127,-174.5697196240995,11493
128,-173.07964415267793,11557
129,-172.175002497562,11649
130,-172.70550262057506,11775
131,-170.87926351448203,11835
132,-171.05905202203837,11983
133,-171.23667425082022,12047
134,-168.95577767891152,12124
135,-167.79088510786096,12201
136,-168.33953789313588,12260
137,-168.19347738675387,12346
138,-166.8313447557766,12409
139,-167.36372372404662,12487
140,-167.24009369301191,12559
141,-165.77746125182185,12670
142,-166.94105539897387,12797
143,-166.43737682626465,12859
144,-167.06471818209428,12928
145,-168.30628824169543,13043
146,-169.15451895476403,13136
147,-167.1472085994068,13226
148,-166.58711729713497,13302
149,-168.1487540495915,13423
150,-166.13596528015495,13527
151,-167.10277091897996,13597
152,-167.86693586676617,13668
153,-167.56750838560637,13743
154,-167.91198045944483,13832
155,-168.31158806234896,13967
156,-170.6629587749195,14041
157,-167.7419149791714,14108
158,-168.66419782008853,14198
159,-169.74127690819148,14296
160,-170.16635100729752,14400
161,-168.08646468806597,14461
162,-168.95713819969558,14543
163,-169.37953773251797,14651
164,-169.16670788408365,14723
165,-168.03242361993117,14783
166,-167.25963962562525,14876
167,-166.4049894573488,15024
168,-166.374203705062,15120
169,-165.29945350173566,15184
170,-165.2710513856974,15249
171,-163.76707583178396,15343
172,-164.61235033545222,15402
173,-166.57606990656902,15528
174,-168.52193233655242,15647
175,-169.33088800595738,15739
176,-169.86261976030949,15854
177,-166.44262841017363,15915
178,-164.52177992992998,16011
179,-163.2429827860766,16090
180,-162.02121660332864,16168
181,-159.91481787276825,16257
182,-159.10695364776143,16342
183,-159.1402782483932,16403
184,-159.63856075411724,16501
185,-162.29554664611672,16594
186,-160.62437207180142,16702
187,-160.64455916630305,16798
188,-158.10629035655063,16861
189,-157.92107563493175,16929
190,-155.23759542244653,16999
191,-155.91444919809928,17107
192,-154.50078901130317,17206
193,-156.00892543928023,17297
194,-155.6438785983998,17365
195,-154.90225007561617,17501
196,-153.71380853699674,17582
197,-154.24688489162935,17672
198,-153.61156737603952,17735
199,-153.727194606724,17811
200,-154.53148474351607,17908
201,-152.3681196756814,17976
202,-152.93011429774583,18111
203,-151.32703431130324,18201
204,-150.41545085089888,18273
205,-150.56145701487702,18354
206,-150.72464755496017,18446
207,-152.03007450098534,18557
208,-150.5663914830032,18622
209,-153.2016698198809,18732
210,-151.70194559047587,18801
211,-151.57757725216953,18891
212,-151.45076218474617,19013
213,-150.87467758068428,19125
214,-150.4381261205625,19194
215,-150.28116800087156,19256
216,-148.72120105088064,19351
217,-148.7572730578391,19421
218,-150.0177295959929,19511
219,-149.81067970666575,19572
220,-149.49291971820924,19644
221,-149.57791409573534,19738
222,-148.6617685279914,19824
223,-149.1588516799729,19893
224,-152.17989590844363,20009
225,-154.0277378013978,20154
226,-156.69714054951234,20237
227,-157.28221055831034,20308
228,-158.10930135912145,20374
229,-156.74727649014994,20461
