,mean_reward_100_steps,steps
0,-295.51148616555867,108
1,-345.27168689048085,201
2,-347.1329385686936,291
3,-292.23844372893257,380
4,-399.7309708716872,531
5,-404.2981229961183,686
6,-418.27478367664384,835
7,-414.47591588193484,961
8,-458.1883131479511,1059
9,-517.2189306842944,1151
10,-601.4531466100929,1302
11,-625.0323443557068,1400
12,-603.4048610024839,1458
13,-590.4893642133649,1554
14,-584.177237142454,1617
15,-572.7454714787073,1676
16,-572.4478850829936,1745
17,-563.9366677740954,1803
18,-583.6717318293603,1887
19,-578.511821384534,1941
20,-574.3762072230411,1996
21,-589.9036553607459,2079
22,-597.6799573821828,2157
23,-587.9880153895348,2207
24,-582.1987018082814,2259
25,-586.5978629729026,2364
26,-591.1408653659183,2440
27,-594.6154900100295,2509
28,-591.4561358061679,2564
29,-591.0607113646088,2626
30,-588.903355673435,2687
31,-587.881056812942,2754
32,-581.9103707490648,2808
33,-583.2628438069402,2875
34,-591.2636421812367,2955
35,-590.5759288360119,3014
36,-589.3610111837672,3075
37,-589.7625594100388,3148
38,-589.3931095280234,3208
39,-594.4175827497165,3286
40,-590.9385268849082,3364
41,-587.2284076492896,3423
42,-587.760529364164,3488
43,-587.7677241808047,3559
44,-586.1666909416981,3622
45,-583.3109277699913,3682
46,-578.5175419760666,3733
47,-578.1602584156626,3802
48,-576.5388283830194,3865
49,-575.6437585238093,3928
50,-573.9767485402012,4000
51,-570.8507322948758,4055
52,-568.7628774840131,4126
53,-569.6156447184967,4199
54,-572.3890927086474,4278
55,-576.5206596483124,4357
56,-573.7145063802587,4414
57,-570.8966179603229,4465
58,-568.7949124809667,4523
59,-569.8421616328487,4589
60,-569.5659821659257,4647
61,-567.041467054246,4701
62,-565.5575032043278,4768
63,-562.8204454075383,4819
64,-564.2556920891402,4901
65,-562.3123431371866,4954
66,-563.4480371798576,5028
67,-560.8774504171482,5083
68,-560.9902375833816,5150
69,-561.3378605286106,5216
70,-560.4261415247369,5281
71,-561.6168028522538,5360
72,-560.4938758769159,5415
73,-560.6479850017047,5480
74,-558.7166236560818,5532
75,-557.8256374772835,5587
76,-557.4869208098994,5644
77,-556.4022322544918,5705
78,-557.579337376515,5773
79,-558.4237519233467,5838
80,-556.9315765367979,5896
81,-561.8642127024899,5980
82,-563.5510531605086,6052
83,-562.7393572224339,6110
84,-567.9951027908286,6197
85,-566.827505063653,6258
86,-565.4743150419441,6335
87,-563.4189975272237,6388
88,-563.622594319188,6451
